CELLxGENE dataset ID	Dataset title	Tissue (cells)	Assay	Cells in dataset	Cell types	Independent of the TS comparison	Audited	Cells audited	Thin (discarded)	Agree	Within lineage	Cross lineage	Collection ID	Publication
a20e2f2a-e171-450a-8ddc-8935c2977ad6	Bone_marrow	bone marrow (66,613)	10x 3' v3; 10x 5' v2	66613	38	yes	24	63064	5	11	7	1	854c0855-23ad-4362-8b77-6b1639e7a9fc	https://doi.org/10.1016/j.cell.2023.11.026
644a578d-ffdc-446b-9679-e7ab4c919c13	Spleen	spleen (94,256)	10x 3' v2	94256	24	yes	18	93071	3	11	4	0	4d74781b-8186-4c9a-b659-ff4dc4601d91	https://doi.org/10.1186/s13059-019-1906-x
3e524d45-2265-4440-b903-3c30d51a0b17	Human adult ureter	ureter (30,942)	10x 3' v3	30942	13	yes	12	30693	1	11	0	0	af286675-7167-4816-a907-c72d41b73d37	https://doi.org/10.1016/j.devcel.2022.07.004
74520626-b0ba-4ee9-86b5-714649554def	scRNA-seq data - T cells	breast (76,567)	10x 3' v3; 10x 3' v2	76567	13	yes	12	76308	1	11	0	0	4195ab4c-20bd-4cd3-8b3d-65601277e731	https://doi.org/10.1038/s41586-023-06252-9
983d5ec9-40e8-4512-9e65-a572a9c486cb	Tabula Sapiens - Blood	blood (85,233)	10x 3' v3; 10x 5' v2	85233	22	no (Tabula Sapiens)	11	83441	8	2	1	0	e5f58829-1a66-40b5-a624-9046778e74f5	https://doi.org/10.1126/science.abl4896
3a702020-cf66-4ef5-9d11-4a5e835b7efb	The regulatory landscapes of the human ovarian aging(snRNA-seq)	ovary (42,568)	10x 3' v3	42568	8	yes	7	42114	2	4	0	1	ce781ec4-393a-4902-94a0-5a1ca0b600ca	https://doi.org/10.1101/2022.05.18.492547
105c7dad-0468-4628-a5be-2bb42c6a8ae4	mature	cortex of kidney (20,540); kidney (14,333); renal medulla (4,760); +2 more	10x 3' v2	40268	26	yes	5	4765	1	2	1	1	125eef58-0f61-4963-9b08-53e851ab65fb	https://doi.org/10.1126/science.aat1699
31f657dc-1875-4c4b-a5ca-ce63b3ef3a82	Pancreas	pancreas (81,482); islet of Langerhans (40,434)	10x 3' v2; 10x 3' v3	121916	9	yes	5	83219	0	4	1	0	854c0855-23ad-4362-8b77-6b1639e7a9fc	https://doi.org/10.1016/j.cell.2023.11.026
0920bcb8-4b3a-4e9d-a353-56f529fd3b32	Cellular and transcriptional diversity over the course of human lactation	milk (48,478)	Seq-Well	48478	8	yes	4	47836	0	4	0	0	e77163ca-8214-4e86-8b37-4f65a2ddae13	https://doi.org/10.1073/pnas.2121720119
5a11f879-d1ef-458a-910c-9b0bdfca5ebf	Tabula Sapiens - Endothelium	lung (10,648); thymus (5,814); muscle of abdomen (5,315); +66 more	10x 3' v3; Smart-seq2	73195	11	no (Tabula Sapiens)	3	28861	1	1	1	0	e5f58829-1a66-40b5-a624-9046778e74f5	https://doi.org/10.1126/science.abl4896
c6413315-7158-46c5-a5fd-7228385694f1	scRNA-seq analysis of healthy human fallopian tubes	fimbria of fallopian tube (19,322); isthmus of fallopian tube (18,755); ampulla of fallopian tube (15,101); +1 more	10x 3' v3	59738	12	yes	1	4186	0	1	0	0	fc77d2ae-247d-44d7-aa24-3f4859254c2c	https://doi.org/10.1101/2021.09.16.460628
de94c504-4b58-4f42-b68d-74a8e4892f0e	UMAP visualization of all 12 datasets	skin of body (6,498); skin epidermis (4,729); dermis (4,016)	10x 3' v3; 10x 3' v2	15243	6	yes	1	10126	1	0	0	0	6d203948-a779-4b69-9b3f-1ee1dadc3980	https://doi.org/10.1016/j.celrep.2023.111994
TOTAL (n=12)				755017	190		103	567684	23	62	15	3		
